tconst,ordering,nconst,category,job,characters
tt0045192,12,nm0851537,director,\N,
tt0045196,11,nm0554249,director,\N,
tt0045197,11,nm0002175,director,\N,
tt0045201,11,nm0187769,director,\N,
tt0045202,11,nm0812827,director,\N,
tt0045205,11,nm0588183,director,\N,
tt0045220,11,nm0256831,director,director,
tt0045229,11,nm0419282,director,\N,
tt0045230,10,nm0745866,director,\N,
tt0045232,11,nm0270765,director,director,
tt0045237,11,nm0041678,director,\N,
tt0045244,11,nm0952761,director,\N,
tt0045247,11,nm0826642,director,\N,
tt0045248,11,nm0826642,director,\N,
tt0045248,12,nm0598102,director,director,
tt0045250,11,nm0826452,director,\N,
tt0045251,11,nm0000080,director,\N,
tt0045259,11,nm0928214,director,\N,
tt0045265,12,nm0004454,director,\N,
tt0045267,11,nm0226189,director,\N,
tt0045274,11,nm0001120,director,\N,
tt0045281,11,nm0293707,director,\N,
tt0045283,12,nm0088923,director,\N,
tt0045293,12,nm0347589,director,\N,
tt0045294,11,nm0000774,director,\N,
tt0045296,11,nm0001415,director,\N,
tt0045301,11,nm0699877,director,\N,
tt0045302,11,nm0213940,director,director,
tt0045316,11,nm0869664,director,\N,
tt0045317,11,nm0332539,director,\N,
tt0045323,11,nm0000406,director,\N,
tt0045329,11,nm0554249,director,\N,
tt0045333,12,nm0485943,director,\N,
tt0045334,11,nm0491852,director,\N,
tt0045339,11,nm0909825,director,\N,
tt0045343,11,nm0208111,director,director,
tt0045361,11,nm0000320,director,\N,
tt0045464,11,nm0746740,director,\N,
tt0045465,11,nm0439597,director,\N,
tt0045468,11,nm0006943,director,\N,
tt0045469,12,nm0006943,director,\N,
tt0045470,11,nm0823906,director,\N,
tt0045471,11,nm0002030,director,\N,
tt0045473,11,nm0739677,director,\N,
tt0045478,11,nm0245213,director,\N,
tt0045479,11,nm0918659,director,\N,
tt0045480,11,nm0733634,director,\N,
tt0045487,11,nm0318150,director,\N,
tt0045491,11,nm0703689,director,\N,
tt0045492,11,nm0802862,director,\N,
tt0045494,11,nm0861703,director,\N,
tt0045502,11,nm0780764,director,\N,
tt0045504,11,nm0000774,director,director,
tt0045504,12,nm0000019,director,director,
tt0045504,13,nm0490444,director,director,
tt0045504,14,nm0515491,director,director,
tt0045505,11,nm0344927,director,\N,
tt0045507,11,nm0621540,director,\N,
tt0045512,11,nm0869664,director,\N,
tt0045513,11,nm0494885,director,\N,
tt0045518,11,nm0912766,director,\N,
tt0045525,11,nm0147158,director,\N,
tt0045527,11,nm0883334,director,\N,
tt0045534,11,nm0710924,director,\N,
tt0045537,12,nm0591486,director,\N,
tt0045539,12,nm0623401,director,\N,
tt0045544,11,nm0112218,director,\N,
tt0045546,11,nm0522123,director,\N,
tt0045549,11,nm0076368,director,director,
tt0045549,12,nm0273203,director,director,
tt0045551,11,nm0916271,director,director,
tt0045554,11,nm0305557,director,director,
tt0045555,11,nm0000485,director,\N,
tt0045557,11,nm0526946,director,\N,
tt0045562,11,nm0279807,director,director,
tt0045563,10,nm0293707,director,\N,
tt0045564,11,nm0000485,director,\N,
tt0045569,11,nm0002193,director,\N,
tt0045574,11,nm0268513,director,\N,
tt0045578,11,nm0562388,director,\N,
tt0045586,11,nm0124877,director,\N,
tt0045589,12,nm0851537,director,\N,
tt0045591,11,nm0124877,director,\N,
tt0045592,11,nm0485943,director,\N,
tt0045595,11,nm0057022,director,\N,
tt0045601,11,nm0499077,director,\N,
tt0045607,11,nm0454028,director,\N,
tt0045617,11,nm0755068,director,\N,
tt0045621,11,nm0235066,director,\N,
tt0045628,11,nm0006615,director,\N,
tt0045631,12,nm0041678,director,\N,
tt0045632,11,nm0428195,director,\N,
tt0045636,11,nm0928208,director,\N,
tt0045637,11,nm0208111,director,director,
tt0045646,11,nm0522943,director,\N,
tt0045651,11,nm0655065,director,\N,
tt0045652,11,nm0796923,director,\N,
tt0045653,11,nm0782947,director,\N,
tt0045654,11,nm0533241,director,\N,
tt0045659,11,nm0294243,director,\N,
tt0045661,11,nm0507390,director,\N,
tt0045665,11,nm0054219,director,director,
tt0045669,11,nm0628149,director,\N,
tt0045670,11,nm0910199,director,\N,
tt0045678,12,nm0678928,director,\N,
tt0045679,11,nm0936404,director,\N,
tt0045680,12,nm0401680,director,director,
tt0045682,11,nm0936404,director,\N,
tt0045684,11,nm0921288,director,director,
tt0045693,11,nm0746950,director,\N,
tt0045695,11,nm0538032,director,\N,
tt0045700,11,nm0213940,director,\N,
tt0045705,11,nm0258015,director,director,
tt0045705,12,nm0031196,director,director,
tt0045706,11,nm0791084,director,\N,
tt0045712,12,nm0560395,director,\N,
tt0045718,11,nm0910199,director,\N,
tt0045730,11,nm0894577,director,\N,
tt0045734,11,nm0131460,director,\N,
tt0045735,11,nm0054219,director,director,
tt0045735,12,nm0305557,director,director,
tt0045737,11,nm0836328,director,\N,
tt0045739,11,nm0208332,director,\N,
tt0045745,11,nm0337103,director,\N,
tt0045758,10,nm0000040,director,\N,
tt0045759,11,nm0329746,director,\N,
tt0045774,11,nm0912766,director,\N,
tt0045780,11,nm0005789,director,\N,
tt0045782,11,nm0710924,director,\N,
tt0045783,11,nm0782947,director,director,
tt0045784,11,nm0145336,director,\N,
tt0045785,11,nm0782947,director,\N,
tt0045787,12,nm0279807,director,\N,
tt0045789,11,nm0523893,director,\N,
tt0045793,11,nm0003593,director,\N,
tt0045808,11,nm0180191,director,\N,
tt0045810,11,nm0001328,director,\N,
tt0045814,11,nm0003226,director,\N,
tt0045816,11,nm0861703,director,\N,
tt0045818,11,nm0000791,director,\N,
tt0045821,11,nm0558127,director,\N,
tt0045822,12,nm0002045,director,director,
tt0045824,11,nm0788058,director,\N,
tt0045825,11,nm0000791,director,\N,
tt0045827,11,nm0916271,director,\N,
tt0045828,11,nm0432846,director,\N,
tt0045841,11,nm0045800,director,\N,
tt0045843,11,nm0317856,director,\N,
tt0045845,11,nm0623401,director,\N,
tt0045846,11,nm0909825,director,\N,
tt0045847,11,nm0432846,director,\N,
tt0045848,11,nm0000005,director,\N,
tt0045854,11,nm0918659,director,\N,
tt0045876,12,nm0005738,director,\N,
tt0045877,11,nm0526946,director,\N,
tt0045882,12,nm0002216,director,\N,
tt0045883,11,nm0268513,director,\N,
tt0045886,11,nm0550892,director,\N,
tt0045888,11,nm0211964,director,director,
tt0045889,11,nm0027183,director,\N,
tt0045891,11,nm0624535,director,\N,
tt0045897,11,nm0000033,director,\N,
tt0045899,12,nm0918659,director,\N,
tt0045902,11,nm0261400,director,\N,
tt0045907,11,nm0000320,director,\N,
tt0045910,11,nm0598102,director,\N,
tt0045910,12,nm0826642,director,\N,
tt0045911,11,nm0001928,director,director,
tt0045917,12,nm0580017,director,director,
tt0045919,11,nm0920074,director,\N,
tt0045920,11,nm0000791,director,\N,
tt0045925,11,nm0776838,director,director,
tt0045932,11,nm0836328,director,\N,
tt0045935,11,nm0455938,director,\N,
tt0045941,11,nm0229424,director,\N,
tt0045942,11,nm0002165,director,director,
tt0045943,11,nm0000581,director,\N,
tt0045945,11,nm0105175,director,\N,
tt0045961,11,nm0454771,director,\N,
tt0045963,11,nm0796645,director,\N,
tt0045966,11,nm0861703,director,\N,
tt0045981,11,nm0578483,director,\N,
tt0045986,11,nm0921288,director,\N,
tt0045992,12,nm0909825,director,\N,
tt0046000,11,nm0910199,director,\N,
tt0046002,11,nm0909825,director,\N,
tt0046003,11,nm0780833,director,\N,
tt0046004,9,nm0039107,director,\N,
tt0046004,10,nm0257129,director,\N,
tt0046004,11,nm0649907,director,\N,
tt0046006,11,nm0494885,director,\N,
tt0046008,2,nm0019282,director,\N,
tt0046022,11,nm0649097,director,\N,
tt0046023,11,nm0312866,director,\N,
tt0046026,11,nm0802561,director,director,
